frequency,variable,nonmissing,mean,sd,min,max
yearly,bs_fomc_TNOTE05,36,-0.04598926987994813,0.14655079026855242,-0.3968332613222839,0.16466997901258382
yearly,bs_fomc_TNOTE10,36,-0.02500666550906953,0.10472420642300927,-0.2721891173680302,0.17075517186733366
yearly,bs_fomc_TBOND,36,-0.0010610563386009074,0.08516264247656884,-0.2025289440786941,0.16115417248246794
yearly,bs_fomc_MPS,36,-9.25185853854297e-18,0.2668255997276973,-0.8173342955462267,0.7063696672670994
yearly,bs_fomc_MPS_ORTH,36,6.553399798134605e-17,0.13240910884030366,-0.41547700096260287,0.23087184645638764
yearly,bs_fomc_NFP_SURP,36,168.30555555555554,1984.7149751386678,-2110.0,11306.0
yearly,bs_fomc_NFP_12M,36,12.387428641570628,21.722070297502437,-40.3490307488406,84.94840972686734
yearly,bs_fomc_SP500_3M,36,0.13525069511212492,0.49435454292765996,-1.6265950295068323,1.1691527225150358
yearly,bs_fomc_SLOPE_3M,36,0.013915764360060577,3.132652643586432,-5.506787343198427,9.008611421452738
yearly,bs_fomc_BCOM_3M,36,0.07948973125022424,0.38539013357897717,-0.8244751094318579,0.8098786609166453
yearly,bs_fomc_TR_SKEW,36,1.216270641414141,2.601689026608735,-3.527170318181819,9.045459272727273
yearly,bs_fomc_event_count,36,10.027777777777779,4.644419761459438,8.0,27.0
yearly,usmpd_me_MP1,33,-0.0870352351828529,0.2562125660463339,-1.1346616952014053,0.30301807359307364
yearly,usmpd_me_MP2,33,-0.06990991544235745,0.1958284693522165,-0.9464117826139015,0.10753205128211449
yearly,usmpd_me_FF1,33,-0.04916636363636837,0.1601958315004321,-0.7915000000000253,0.23001
yearly,usmpd_me_FF2,33,-0.06331787878788112,0.169453927694182,-0.7650000000000035,0.1649999999999918
yearly,usmpd_me_OIS1Y,33,-0.020075757575757566,0.07833986465356797,-0.2489999999999986,0.07375
yearly,usmpd_me_OIS2Y,33,-0.02951363636363613,0.09782171384137328,-0.43849999999999656,0.0718999999999998
yearly,usmpd_me_UST2Y,33,-0.06310302509090893,0.19385988209636182,-0.7167499999999996,0.224999428
yearly,usmpd_me_UST5Y,33,-0.07206512654545462,0.19993806652220786,-0.6576,0.2578499999999998
yearly,usmpd_me_UST10Y,33,-0.047459093757575704,0.14963097455227817,-0.5730999999999998,0.14999999999999952
yearly,usmpd_me_SP500,33,0.033407697648472776,2.2852289413738576,-8.040129166066542,4.450963983354938
yearly,usmpd_me_SPFUT,33,0.6842024512895054,2.0578932878421563,-3.607918964842181,5.956098791518105
yearly,usmpd_me_DXY,33,-0.24707499851711132,1.095063425089356,-3.3637445623837063,2.471211987840452
yearly,usmpd_me_SEP,33,2.242424242424242,1.9847906537954934,0.0,5.0
yearly,usmpd_me_Unscheduled,33,0.5454545454545454,1.2769815261709225,0.0,6.0
yearly,usmpd_me_PC,33,2.787878787878788,3.2954284220490186,0.0,9.0
yearly,usmpd_me_event_count,33,8.363636363636363,1.4962073264211628,3.0,13.0
yearly,bs_m_MPS_ORTH_y,28,-1.42838122282488e-13,0.8961830620136579,-2.2652917688109997,1.6534360828270003
yearly,uk_Target,30,-0.030058945235109318,0.12154694033508955,-0.40302731907955974,0.15137747138508856
yearly,uk_Path,30,-0.06337875432394022,0.12252392065889772,-0.4156251491953502,0.21818614006200562
yearly,uk_QE,30,-0.03036532679051634,0.09994028771689556,-0.34228164285310736,0.17691553131890814
yearly,uk_event_count,30,13.933333333333334,3.1286587776755774,2.0,16.0
yearly,bs_m_MPS_ORTH,28,-1.42838122282488e-13,0.8961830620136579,-2.2652917688109997,1.6534360828270003
yearly,rr_resid_romer,39,-0.08936140085335445,0.9250906086117853,-2.268743551336229,1.6554864197969437
yearly,rr_resid_full,39,2.5372570141767845e-09,0.9216211230049199,-2.1261103032156825,1.8784849420189857
